dataset,run,Event #,generation,time,current_optimal,optimality_gap
2,3,2,2,18.54144049,73800,52518
2,3,3,3,27.79920435,56936,35654
2,3,4,4,37.09585977,47936,26654
2,3,5,5,46.33217049,41767,20485
2,3,6,6,55.63031912,36497,15215
2,3,7,7,64.85671568,31106,9824
2,3,8,8,73.95640826,29047,7765
2,3,9,9,83.08600473,27152,5870
2,3,10,10,92.34417748,25974,4692
2,3,11,11,101.5535641,25158,3876
2,3,12,12,110.7310452,24753,3471
2,3,13,13,120.0339565,23674,2392
2,3,14,14,129.2363551,23127,1845
2,3,15,15,138.5165491,23103,1821
2,3,16,19,175.6619117,23103,1821
2,4,0,0,0.066821575,177309,156027
2,4,1,1,9.196438551,101484,80202
2,4,2,2,18.29711223,70570,49288
2,4,3,3,27.56332755,55852,34570
2,4,4,4,36.8355937,44369,23087
2,4,5,5,46.12078738,37022,15740
2,4,6,6,55.4199512,33180,11898
2,4,7,7,64.44687414,30688,9406
2,4,8,8,73.57447243,29121,7839
2,4,9,9,82.71703553,27271,5989
2,4,10,10,91.73592782,26459,5177
2,4,11,11,100.6870139,26112,4830
2,4,12,12,109.6200781,25583,4301
2,4,13,13,118.5651693,25356,4074
2,4,14,14,127.5397446,25019,3737
2,4,15,15,136.4220037,24477,3195
2,4,16,16,145.3311894,23768,2486
2,4,17,20,181.2273378,23768,2486
